################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3021491758219422E-01 a         1     0     1     1     1
 -8.2614698794659625E-01 a         2     0     1     1     2
 -7.8859375586654468E-01 a         3     0     1     1     3
 -1.0304840273612201E+00 a         4     0     1     1     4
  7.9413927136485130E-01 a         5     0     1     1     5
  1.4235170889357091E-01 a         6     0     1     1     6
 -3.3870741895118256E-01 a         7     0     1     1     7
 -1.1270763704700417E+00 a         8     0     1     1     8
  3.5359483506496886E-01 a         9     0     1     1     9
 -9.6810362455297938E-01 a        10     0     1     1    10
  2.3636800904544958E-01 a        11     0     1     1    11
 -1.4449470797171493E-01 a        12     0     1     1    12
 -8.0320625017133207E-01 a        13     0     1     1    13
 -4.9584842789858607E-01 a        14     0     1     1    14
 -5.7805037690974836E-01 a        15     0     1     1    15
  2.7071776447961426E-01 a        16     0     1     1    16
  4.1377698927917955E-01 a        17     0     1     1    17
 -2.0404124054609890E-01 a        18     0     1     1    18
  1.1611436067683280E-01 a        19     0     1     1    19
  6.2921341466151592E-01 a        20     0     1     1    20
 -7.0367798779658974E-01 a        21     0     1     1    21
 -8.1216528286830625E-01 a        22     0     1     1    22
 -4.5067664613341035E-01 a        23     0     1     1    23
 -9.3499076015815819E-01 a        24     0     1     1    24
 -3.4337966912946327E-01 a        25     0     1     1    25
  1.4757906483322305E+00 a        26     0     2     1     1
 -5.3178305761556133E-01 a        27     0     2     1     2
  1.2275565892096065E+00 a        28     0     2     1     3
  8.2058983642590155E-01 a        29     0     2     1     4
  4.2850604036817119E-01 a        30     0     2     1     5
 -2.5267655398403178E-02 a        31     0     2     1     6
  1.3437252845411971E+00 a        32     0     2     1     7
  1.3231646938763344E+00 a        33     0     2     1     8
  8.0840690625341924E-02 a        34     0     2     1     9
  9.7967744380151112E-01 a        35     0     2     1    10
