################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         3          2   8.8843947712810112E-01   3.1430909019847024E+00   1.8882517940247352E+00   4.0298673342293090E-01
         3          3   5.5419126106494937E-02   2.8770033595369315E-01   1.4350901453688608E-01   3.3863287587155330E-02
         3          4   6.1642233209815031E-02   3.2123021315932188E-01   1.6481414318827567E-01   3.9130691266535261E-02
         3          5   4.6860861172069917E+01   8.5871360962434181E+01   6.6703829086008213E+01   9.2677257694687967E+00
         3          6   6.8401946570044771E+01   1.1827763693034862E+02   9.2473313261464114E+01   1.0960142008166516E+01
         3          7   4.8569587667162885E+01   9.5315621545714620E+01   7.5707057313466564E+01   7.7496235126224020E+00
         3          8   2.6604338935972567E+01   6.1329099535125216E+01   4.5592880318363171E+01   5.0658158091506706E+00
         3          9   2.2482961079703173E+01   4.3194957030868530E+01   3.3727748480313309E+01   3.1959762749866014E+00
         3         10   1.6233770282571887E+00   1.2236683383074926E+01   5.5390088521401841E+00   1.5227889686925218E+00
         3         11   1.2673887228543687E-03   1.0779294606149461E+00   3.3480345988392814E-02   3.3645576538313827E-02
         3         12   1.6927856130814481E-10   2.7214738320634851E-01   3.9994789483988956E-05   2.4564744464458353E-03
         4          1   1.6742209639850916E-02   1.9591796668495314E+00   1.2905174921327180E+00   1.7556582074439586E-01
         4          2   8.7471046450465703E-02   2.4370587914741519E+00   1.3329303306245761E+00   3.2455272751934028E-01
         4          3   2.0233518470248686E-04   3.0617721672079373E-01   1.8363123630284356E-01   2.8565723542720019E-02
         4          4   1.0442439769429389E-03   2.3440651967676451E-01   1.2332369813810393E-01   2.6019055468993055E-02
         4          5   3.2166482604535780E+01   6.2984009793457723E+01   4.6166994505619435E+01   7.1793427838481367E+00
         4          6   4.1169844416432475E+01   8.6612656883541732E+01   6.8814256226474328E+01   6.9485709864670282E+00
         4          7   2.4962522461944410E+01   8.6311575516004211E+01   6.0432834211016797E+01   1.0021890463204439E+01
         4          8   3.8192643509154411E+00   6.3392542952082074E+01   2.6560124078609320E+01   6.5286308136360320E+00
         4          9   3.2163258991073584E-02   4.1077750257471763E+01   2.7579970629648727E+01   1.0124670909232265E+00
         4         10   7.2798751449837288E-07   2.1458387550025058E+01   1.5405047021538513E+01   1.9057799195583709E+00
         4         11   1.9622155231773487E-16   1.9447731183751575E+00   6.1138897112691093E-01   2.2156527221648611E-01
         4         12   6.0345249928311909E-35   3.0274435444073328E-01   3.1395670250208699E-04   4.1923315906209685E-03
