################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3168835185154073E+00 a         1     0     1     1     1
  1.0495446830380746E+00 a         2     0     1     1     2
  3.4521462476788254E+00 a         3     0     1     1     3
 -6.7788268939845935E+00 a         4     0     1     1     4
  4.0497168621444075E+00 a         5     0     1     1     5
  3.9445719495053422E-01 a         6     0     1     1     6
 -3.3894547520296139E+00 a         7     0     1     1     7
 -2.9229601215218790E+00 a         8     0     1     1     8
 -4.6531377713042952E+00 a         9     0     1     1     9
 -2.1280328274762170E+00 a        10     0     1     1    10
  6.8404213512642187E+00 a        11     0     1     1    11
  1.6195330350647601E+00 a        12     0     1     1    12
  2.3829294111155934E+00 a        13     0     1     1    13
  3.8259201634125746E+00 a        14     0     1     1    14
 -2.2962145418182847E-01 a        15     0     1     1    15
 -5.3032850156392879E+00 a        16     0     1     1    16
  6.3345559095103354E+00 a        17     0     1     1    17
 -7.4675290510505210E-01 a        18     0     1     1    18
  2.8613714150933922E+00 a        19     0     1     1    19
 -1.8858868065523631E+00 a        20     0     1     1    20
 -4.2701840739093200E-01 a        21     0     1     1    21
  1.9348136701274983E+00 a        22     0     1     1    22
  3.9651358926852192E+00 a        23     0     1     1    23
 -6.6784748515295578E-01 a        24     0     1     1    24
  6.6577322914390091E+00 a        25     0     1     1    25
  5.4053415189060788E-02 a        26     0     2     1     1
  1.4508088133135164E-01 a        27     0     2     1     2
  1.1322408224667231E+00 a        28     0     2     1     3
  4.6009306184957482E-01 a        29     0     2     1     4
 -5.7382385311041695E-01 a        30     0     2     1     5
 -2.8071055484753804E-01 a        31     0     2     1     6
