################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5719666176440941E-01 a         1     0     1     1     1
  2.0936126162882007E+00 a         2     0     1     1     2
  3.4879267307277044E+00 a         3     0     1     1     3
  1.1450024976245272E+00 a         4     0     1     1     4
 -5.3662570934013620E-01 a         5     0     1     1     5
 -6.5439921081675057E-01 a         6     0     1     1     6
  2.2429517031149132E-01 a         7     0     1     1     7
 -5.5307630241977614E+00 a         8     0     1     1     8
  2.7911680747461914E-01 a         9     0     1     1     9
 -3.2356362548132439E-01 a        10     0     1     1    10
  9.4135053326750406E-01 a        11     0     1     1    11
  6.5931100891402961E-01 a        12     0     1     1    12
  2.9641899022762017E-02 a        13     0     1     1    13
 -2.4007096019853019E-01 a        14     0     1     1    14
  6.6403393565795654E-01 a        15     0     1     1    15
  6.6066170006216440E-01 a        16     0     1     1    16
  8.8996559287187127E-01 a        17     0     1     1    17
  5.5621072528371085E-01 a        18     0     1     1    18
  4.2869548904691546E-01 a        19     0     1     1    19
  1.1268112410841342E+00 a        20     0     1     1    20
 -9.1175808469954722E-03 a        21     0     1     1    21
  4.9685853079203907E-01 a        22     0     1     1    22
 -8.0199604150725923E-01 a        23     0     1     1    23
 -1.0076337052393627E+00 a        24     0     1     1    24
  6.4957423979313056E-01 a        25     0     1     1    25
  4.7880009943188230E-02 a        26     0     2     1     1
 -9.8975359723797018E-01 a        27     0     2     1     2
 -4.8469764752678907E-01 a        28     0     2     1     3
  4.4758652228836826E-01 a        29     0     2     1     4
  1.0419470038509214E-01 a        30     0     2     1     5
  1.7099055462933097E+00 a        31     0     2     1     6
  4.8952859376282348E-01 a        32     0     2     1     7
 -1.7412429863523454E-01 a        33     0     2     1     8
 -6.1529407367422528E-01 a        34     0     2     1     9
  1.0011502036701068E+00 a        35     0     2     1    10
 -1.0596718189364389E+00 a        36     0     2     1    11
 -8.6799749356140010E-01 a        37     0     2     1    12
 -5.2604886222694092E-01 a        38     0     2     1    13
  6.6832264372060768E-01 a        39     0     2     1    14
  6.9730881867872285E-01 a        40     0     2     1    15
 -2.7908292384870931E-01 a        41     0     2     1    16
 -4.8279112685667852E-01 a        42     0     2     1    17
  1.6110623032388760E+00 a        43     0     2     1    18
 -2.2117485330960462E-01 a        44     0     2     1    19
  3.8953125932837784E-01 a        45     0     2     1    20
 -5.7570294911829900E-01 a        46     0     2     1    21
  3.2281450554505424E-02 a        47     0     2     1    22
 -5.8427637897520635E-01 a        48     0     2     1    23
  4.3695731123826437E-01 a        49     0     2     1    24
